Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
"ABCD1"	0	1.1642235325	1.1642235325	0	0	1.5700334779	1.7203862464	1.1724722436	0.8806315924	0.9971775222	1.0863386159	0	0	1.1475789376	1.3074285973	1.1714258359	0.8806315924	0	0	0	1.2716828341	1.1475789376	0	0	0	0	0	1.2249368634	0.9872593859	0	0	0	1.1475789376	1.9999445701	0	1.1475789376	0	1.1600808905	0	2.5823819859	0	0	0	1.1724722436	0	0	0	0	1.1534844416	0	0	0	0	0	0	0	0.8912965763	1.7242689002	0	1.1475789376	1.1475789376	0.8806315924	1.6751998144	0	0	0.8912965763	0	1.5489320398	0	0	0	0	0	0	0	0	0	0	0	0.8820310903
"ABCD3"	3.4476640482	3.9624556489	2.9757706079	2.192559617	3.4778419881	3.1204368444	2.1172527104	2.6075226705	3.4301122849	3.2787334431	3.2947814222	1.3243796016	1.1754648269	2.7786643481	3.6206343199	3.248143025	3.5458809038	0	2.4952073869	2.6572566791	2.2429361777	2.9824955063	2.6354655445	2.3280880207	2.6238037892	2.9736706144	3.5713373704	2.9103295022	3.2173249532	2.9349908296	3.1795238358	3.7846600728	3.2394936523	3.2639498756	3.491759032	3.2173337787	3.3558929214	2.9491641627	3.0470819346	4.2709198707	3.3775425437	1.7654342844	2.9748042692	3.5878301414	2.236298338	3.1256820613	2.8602913608	3.0137633887	3.3038420957	1.8894816497	4.0623517097	3.3268796776	1.9957044865	2.5452845718	1.2030001473	2.9219382566	2.0294474292	2.961706708	3.0632620111	3.4759865548	2.3291421886	2.7275407376	3.30331563	3.6431811411	3.5177339101	3.0786061317	1.3330995747	3.4153956963	2.3641267197	2.7904184969	2.6472295317	2.9219382566	3.6333762042	3.8672368561	2.4882139635	1.9777831992	4.40864634	2.6572566791	1.9386861777	3.9167997867
"ABCE1"	4.3544170802	4.4193458569	4.1052964378	4.2087892476	3.7795985204	4.6897943969	3.7996631922	3.4603288483	4.2902599595	3.8962836807	4.4431455751	3.5291921917	3.0805732333	3.8304379699	4.110672897	4.3009667927	4.0736398442	4.0387438159	4.3706346883	4.2447277682	3.0615560555	3.4756572598	3.4749486493	3.2783458973	3.6323536546	4.0463354966	3.5552879761	2.9245470939	2.7172121147	4.0498303546	4.8696379687	4.7135494855	4.8238124888	3.9882922835	4.1062384259	4.0004803598	4.004736157	4.3989045709	4.3664451841	4.1214716516	3.8330907588	4.1924328192	4.5323182611	3.6028185761	4.0967565274	4.0001210477	4.2162294671	4.360544421	4.0763104664	3.6099341451	4.1993517026	3.7527792969	3.5072282716	4.3165522056	2.7484889405	4.2297266591	3.9533984298	4.1072510911	3.7991626407	4.3413384977	4.9334042679	4.2460494893	4.5177945809	4.1383648895	4.0726973119	3.905734004	3.4416223953	4.6039802298	4.0037767845	4.7515216728	3.7040434322	3.982746899	3.9306283826	4.0643342346	4.0059740829	4.3208403804	4.0145834696	4.2447277682	3.7334969122	4.8186446911
"ABCF1"	3.1180465478	2.5815479996	2.5372853422	3.02890846	3.3449505198	3.676147649	1.9992538482	1.7492319018	2.419051921	1.29127408	3.1928312414	2.7450724924	2.0195727995	3.1377441444	2.5653505912	3.3126519979	3.196040041	2.5078002705	2.8300168909	2.5529553153	2.4570129434	3.5275936937	2.9833756527	1.4996145572	2.3888463709	2.8272247716	3.7768926033	2.5965395456	3.0615415899	2.8296146334	1.9292918533	2.5159100947	2.2312455662	2.2295522785	2.8904436303	2.8614568119	3.0488492534	2.4624560949	2.4414080322	3.769045992	3.8549372611	2.6296031571	3.5539755452	3.2220055041	2.6720207905	2.8015259448	3.3706154243	2.9213860682	2.4345297253	2.7431302721	3.2162981701	1.9418951431	2.5449536367	3.7056137109	1.2834298305	3.4657199125	2.7436834139	3.7911387225	2.8528157106	2.6418553513	3.4967254733	3.1990376218	3.3758409737	3.0527386015	3.2339471027	2.9678576335	1.4152343988	3.4700668334	2.785611923	3.1057671964	2.2284901058	3.2045728555	3.8588281504	2.5950046336	3.2497941441	2.1992170822	2.7384409881	2.5529553153	2.4502533248	2.8766925611
"ABCF2"	1.0380283408	1.5850028251	1.0417271816	1.9424624999	1.1038809678	2.0360649906	1.0404072791	1.0490934016	1.6885864468	0	2.328749161	0	1.0696546631	1.7340523685	0	1.300709104	1.2549885547	0	2.5261719376	1.8573930359	0	1.4316712483	0	1.0709447646	1.809823436	1.6881813372	0	0	1.0959095924	1.7600307058	1.7981135725	1.3490746019	0	1.0268681419	0.9768782881	1.3983791823	0	1.0380283408	1.0295012732	1.4800056658	2.2854036503	0	1.7432408367	1.0490934016	0	0.9927514081	1.9797072334	2.899200936	1.0321393938	1.0546944647	1.6987377679	0	1.1083426759	1.909191256	0	1.4218384513	1.5429920482	1.1432635117	1.0959095924	2.2338209511	1.8834835304	1.7981135725	2.2122468254	1.9829758484	1.6466443103	2.4037481842	0	1.0268681419	0	2.5485164943	0	1.8100358899	1.3103146185	0	1.0343189295	0	1.2098962166	1.8573930359	1.0490934016	1.9157138402
"ABCF3"	1.9606444216	2.6150445438	1.0043005449	1.0187038617	2.9378983817	2.6293905408	1.5790933493	1.0125797197	1.6429731926	2.6675669541	1.2148709287	0	0	1.3419692756	1.0074679188	2.6379705495	1.9153776912	1.1246976687	1.0219423684	1.9492371011	0	2.2153321322	2.1627083024	2.4877854117	2.1926431999	2.0454088643	2.179840255	0	0	1.7058113147	2.2122914481	2.923713901	1.9567352288	1.8773922091	1.0074679188	1.8325826729	1.0932494434	2.2370592917	2.2233882738	2.5105000187	2.4555025022	1.661113226	0	1.6627490109	1.0808394361	1.5823103588	1.8984883387	1.8526504389	1.921108372	1.0782409286	2.447160959	1.0747945	1.8856252045	2.4252524538	0	2.7974425575	1.0183392564	2.0870062883	1.1155478625	2.3943787934	1.9800095609	1.7392671564	2.6754067876	2.4537852685	2.0108262877	1.519550481	1.2429464669	1.8193520162	1.0987256021	2.9116303461	0	2.5448609359	1.3101871501	2.0755536224	1.5161182697	1.0125797197	1.2181710793	1.9492371011	2.0891909617	2.4520808774
"ABHD10"	3.174521634	3.2916523871	3.086105244	2.4434599881	2.6107426364	2.6712846397	2.8860420319	3.7042143928	3.0214014612	3.4402519816	2.7866737854	1.9026964491	2.605546292	3.1732675299	3.3149958951	3.7490646062	2.3330236511	2.1814616625	3.1229450032	3.1501288649	3.2936741105	3.2389658697	3.4633884579	0	2.4117455782	3.0706216553	2.0251690335	1.339814039	2.5409224802	3.4612160161	3.5973781535	2.9241447973	2.5697466378	3.8856246388	2.6443263425	2.6530492376	2.0872012128	3.0645734542	3.1437429194	3.0672676816	2.2882905606	3.1937433747	3.2466697466	3.0743488817	2.4799835292	3.4297482577	2.6953190767	2.3183692763	2.7330265509	2.7708736008	3.7268246164	3.0262167407	2.6286234972	3.2078295165	2.5785195376	2.982136569	3.2296545569	3.3444796427	2.5983043537	2.8975285066	2.738429375	2.785522287	2.708536536	2.7445397625	3.0682607465	2.9596434293	2.565312274	3.3546009688	3.0991946316	2.9093476547	3.1700586895	2.7697415052	2.4490046558	2.6029698851	2.3251638569	3.2633526976	2.4590301586	3.1501288649	2.7455680974	2.6274966866
"ABHD11"	3.7724427242	3.0561886523	4.364739218	3.0111532167	1.5620576751	2.5312529949	2.7028048599	3.849573725	3.657199166	3.9963254148	1.6667815308	3.0631642246	3.1764715478	2.9873442195	1.428483859	3.8653818878	3.6718861036	2.3883346527	4.3367567228	4.5602361353	2.4543725252	3.5866798093	3.6953739841	3.3233697761	3.270697121	3.8750211933	3.7477418607	3.9357882369	2.7817566738	3.7526769921	3.769551474	3.2681677959	2.8123823102	4.384517099	1.934783344	3.4601347191	2.9784343675	3.4791423055	3.7432076446	3.6879713153	2.661406692	2.6078750318	3.2774262769	3.2927671721	1.9422788487	3.1194800516	3.6831204014	3.225550942	3.5429733939	1.5108372079	4.486672078	3.9967516165	2.390256231	3.5038328588	3.7023686818	3.3095032154	4.0914079051	3.7666409346	3.4469508761	3.8898713583	3.0986460359	3.1194800516	3.1638878931	3.5094056259	4.5096218418	2.4290757096	3.1436614549	3.8134017655	3.103613434	3.4216380941	3.6290619693	3.0595629686	3.4819404086	3.9461824261	3.8315027126	3.5346610054	3.8858539852	4.5602361353	3.8862194827	2.9670013796
"ABHD12"	2.6565677619	3.1416550815	2.1617138019	2.4723475176	3.0630863297	0	2.112953065	0	3.4524074417	1.0204292348	2.0929388064	1.1265069099	2.1867794951	2.2264181989	2.489315032	1.5686900473	2.1007471899	2.804667794	2.5305213182	2.9279072145	0	2.3423934751	1.594231615	0	1.6358135064	1.5291126858	2.688294069	1.9688688185	1.7230912357	2.356319818	3.3892543998	2.461693456	2.3981561016	1.606474697	2.5925911352	2.2670475561	3.1572454537	2.0672126589	1.1238849144	3.4794720883	1.538821656	1.9848462014	1.184461759	2.5578473466	0	1.875745482	1.7850964159	1.5774783737	0	1.6681994822	1.9850479552	0.9713196331	1.7721752591	2.0602128328	1.759131639	2.6978202367	2.694585085	3.0439264221	2.5539248313	2.2488613547	1.4067565884	3.3701018432	1.671215814	1.1390019761	1.8981506981	2.4398157377	3.2433528477	2.2559890174	1.705575213	3.0380843773	2.4204015558	2.1094306767	1.4498066498	1.5469878225	2.3326457388	3.8603405857	1.9214257689	2.9279072145	3.2429797167	2.3452816694
"ABHD14B"	3.0177692022	3.0620730863	3.1712349714	2.5116549371	0	2.5230235192	2.7290888626	3.015433762	2.8956598912	3.1057982431	2.0408230736	3.328441818	3.6171160273	2.3148894425	3.22727732	3.4181820186	3.7308662906	3.0620675961	2.0239805937	4.0438858334	2.0948664341	3.0317531426	2.5998303524	1.8568991672	2.6302027233	3.0695119154	0	3.1420332328	2.7062302326	2.6806830359	4.0579204741	3.3583892395	1.873069328	3.115714132	2.2888307853	2.9646439775	2.4341436799	2.8973385678	3.1059715797	2.9150593812	2.943147065	3.1490148093	3.0576587419	3.5321427276	1.7656772397	2.4220310553	2.0370197135	2.1466095382	2.4487029403	2.6620771507	2.3139669868	3.9236054228	2.3158795181	2.2651649668	3.3767015404	1.810064365	2.3499753969	2.5227737427	2.7539180779	2.8120207356	2.4313513889	3.0438807647	2.0423879473	3.2267458721	2.0231135681	2.9839364378	0	3.6316356898	2.6850811444	3.3465230588	1.6027528511	3.2341559648	3.2162363293	3.5286681027	2.3731886083	2.927218511	1.6026541695	4.0438858334	3.6109549354	3.3206177011
"ABHD16A"	2.2757406531	2.3482204489	2.3370068607	2.9138662059	0	3.0904656269	2.2569313299	1.6451187174	2.4723588516	2.6904868231	2.2114077663	1.2158749904	0	1.8094234251	2.6138672318	1.9498556251	2.6599092169	2.3223535709	2.0336847287	1.9483865132	1.1429998964	4.1626958432	2.1692333299	2.1541670805	2.200113032	2.3927009779	2.1869054416	1.0968294041	1.0946228529	1.9897228531	1.7330662216	2.5858976342	1.5182776609	1.4852054328	1.8567827854	3.0682414554	2.7404172148	2.8859346867	2.210183878	3.4470893459	1.8254033369	2.4479818936	0	3.0733857119	1.1118368893	1.5718163471	2.1876335209	1.4572405862	2.669710299	3.0518210702	2.6260013618	1.7457441217	1.1060501906	2.4401987386	1.8702892692	2.1205872642	1.502310755	2.6926066157	1.0946228529	2.1106486672	2.2307074384	2.6260013618	2.8797761559	1.6764226486	2.3693506088	3.3565175462	2.1171640933	2.3883334618	1.8153320683	1.0176556785	2.5440660283	1.0496784297	4.1474549292	3.3234927238	3.3197141644	2.447563982	2.5605912003	1.9483865132	1.6838046602	2.7040618562
